장,조,내용
제1장 Battle.net 계정의 정의,제0조,1.  Battle.net 계정은 현재 블리자드 엔터테인먼트에서 제공하는 모든 게임 및 서비스를 하나의 계정을 통해 이용 할 수 있는 통합된 계정을 의미합니다.
제1장 Battle.net 계정의 정의,제0조,"2. 현재 제공하고 있는 [월드 오브 워크래프트], [워크래프트3], [디아블로2], [디아블로3], [스타크래프트], [스타크래프트II], [하스스톤], [히어로즈 오브 더 스톰], [오버워치] 및 향후 출시할 블리자드 엔터테인먼트의 게임 및 서비스를 이용할 때 Battle.net 계정을 이용하여 게임 및 서비스를 선택/이용할 수 있습니다."
제2장 기본 운영 정책,제1조 총칙,"본 운영 정책은 블리자드 엔터테인먼트(이하 회사)가 제공하는 모든 게임 및 서비스에 적용되며, 고객과 회사가 게임 및 서비스를 이용하거나 제공하며 준수하여야 할 기본적인 사항을 규정하는 것을 목적으로 합니다."
제2장 기본 운영 정책,제2조 운영 정책의 적용,"Battle.net 고객지원팀(이하 고객지원팀)은 본 운영정책을 바탕으로 회사의 게임 및 서비스를 제공하고 문제를 처리하며, 이는 회사의 게임 및 서비스에서 발생할 수 있는 각종 문제를 일관되게 처리하기 위함입니다."
제2장 기본 운영 정책,제2조 운영 정책의 적용,"본 운영 정책에 구체적으로 명시되지 않은 사항은 서비스 이용약관, 운영정책 및 대한민국 법률에 의거하여 처리하는 것을 원칙으로 합니다."
제2장 기본 운영 정책,제2조 운영 정책의 적용,"고객은 본 운영 정책을 준수해야 하며, 위반 시에는 각 규정에 의거하여 계정에 불이익이 발생할 수 있습니다."
제2장 기본 운영 정책,제2조 운영 정책의 적용,회사는 본 운영 정책에 근거하여 게임 및 서비스를 제공합니다.
제2장 기본 운영 정책,제3조 운영 정책의 변경,"회사는 운영정책의 제정/수정/삭제의 권한을 가지고 있으며, 회사가 필요에 따라 본 운영정책을 변경할 경우 고객이 내용을 쉽게 인지할 수 있는 방법(홈페이지, 이메일 등)을 통해 고지할 것입니다. 홈페이지를 방문할 경우 본 운영 정책을 확인하시기 바랍니다"
제2장 기본 운영 정책,제3조 운영 정책의 변경,회사가 변경된 운영 정책을 고지 하였으나 고객이 이를 인지하지 않거나 고객의 부주의로 발생하는 문제에 대해서는 도움을 드리거나 책임을 지지 않으니 이점 참고하시길 바랍니다.
제3장 고객의 의무 및 권리,제1조 고객의 의무,"고객은 서비스 이용 약관이나 본 운영정책에 위배되는 행위 즉, 게임 및 서비스의 질서와 균형을 무너뜨리는 행위를 해서는 안됩니다."
제3장 고객의 의무 및 권리,제2조 고객의 권리,고객은 게임 및 서비스 내에서 타인으로부터 부당한 대우를 받거나 게임 및 서비스에서 서비스 이용 약관 및 본 운영정책에서 규정하는 피해가 발생할 경우 정당한 방법을 통해 시정을 요청할 수 있습니다.
제3장 고객의 의무 및 권리,제2조 고객의 권리,"고객은 게임 및 서비스에서 스스로 해결할 수 없는 문제에 직면하는 경우, 고객 지원팀에 문의하여 도움을 받을 수 있습니다."
제3장 고객의 의무 및 권리,"제3조 서비스 이용약관, 운영 규정위반 시의 조치사항",고객은 회사의 서비스 이용 약관이나 본 운영정책에 위배되는 행위를 해서는 안됩니다. 고객의 서비스 이용약관 및 운영정책 위반행위를 회사가 인지하는 경우 회사는 해당 위반행위에 대해 서비스 이용 약관 및 운영정책에 따라 정당하고 공정한 범위 내에서 조치를 취할 수 있습니다.
제4장 위반 행위,"제3조 서비스 이용약관, 운영 규정위반 시의 조치사항","고객의 다음과 같은 행위는 법적인 책임이 발생할 수 있으며, 더불어 회사로부터 계정에 대한 불이익을 받을 수 있습니다. 본 운영정책에서 규정하는 위반 행위는 아래에 언급되어 있는 내용을 반드시 포함하며, 이에 국한되지 않습니다."
제4장 위반 행위,"제1조 현금 거래, 게임 및 서비스 내 현금거래 및 광고",회사는 게임 및 서비스의 캐릭터나 아이템을 수익원으로 보는 사람들로 인하여 현금 거래가 발생하거나 폭력 및 기타 사회적 부작용이 생겨나는 것을 원하지 않습니다. 특히 회사는 많은 노력을 들여 만든 게임 및 서비스의 균형이 캐릭터나 아이템의 현금거래로 인하여 붕괴되는 것을 원하지 않습니다. 이에 따라 게임 및 서비스에서 현금거래나 광고에 대해서는 지속적인 모니터링을 통해 제재를 진행할 것입니다. 회사는 현금거래 및 광고를 인지할 경우 원칙에 따라 강력한 제재 조치를 취할 것입니다.
제4장 위반 행위,제2조 회사에서 제공하는 클라이언트의 무단 변경,"회사 게임 및 서비스의 프로그램을 무단 변경하는 것은 저작권법에 위배 될 수 있으며, 이를 회사가 인지할 경우 강력한 제재조치를 취할 것입니다."
제4장 위반 행위,제3조 회사 게임 및 서비스 프로그램에 영향을 주는 인증되지 않은 프로그램의 이용,"회사 게임 및 서비스 프로그램에 영향을 주는 인증되지 않은 파일에는 악성 바이러스 및 백 오리피스 프로그램을 내포하고 있을 확률이 매우 높으며, 이는 고객의 개인정보 등을 유출하기 위한 수단일 수 있습니다. 회사는 비정상적인 회사 게임 및 서비스에 영향을 주는 인증되지 않은 프로그램을 개발, 공유, 배포, 이용하는 행위에 대해서 강력한 제재 조치를 취할 것입니다."
제4장 위반 행위,제4조 회사의 게임 및 서비스 서버에 대한 공격행위,"회사의 게임 및 서비스 서버에 대한 공격행위는 매우 심각한 범죄행위이며 이러한 방법을 개발, 공유, 배포, 이용할 경우 회사는 강력한 제재 조치 및 경우에 따라 관계당국 및 사법기관에 수사를 의뢰하거나 도움을 요청할 수 있습니다."
제4장 위반 행위,제5조 타인의 계정에 무단으로 접속하는 행위,"타인의 계정에 무단으로 접속하여 피해를 주는 행위뿐만 아니라 단순히 접속하는 것만으로도 본 운영정책에 위반되는 행위입니다. 회사는 이러한 방법을 개발, 공유, 배포, 이용할 경우 강력한 제재조치를 취할 것이며 경우에 따라 관계당국 및 사법기관에 수사를 의뢰하거나 도움을 요청할 수 있습니다."
제4장 위반 행위,제6조 기타 대한민국의 법률에 어긋나는 모든 행위,"회사는 모든 대한민국의 법률에 어긋나는 행위에 대해 간과하지 않을 것이며 이를 인지할 경우 강력한 재제 조치를 취할 것입니다. 또한 관계당국 및 사법기관에 수사를 의뢰하거나 도움을 청할 수 있으며, 만일 관계당국 및 사법기관의 협조요청이 있을 경우 즉시 응할 것입니다."
제4장 위반 행위,제7조 유효하지 않은 개인정보 또는 허위 개인정보를 계정과 관련하여 이용하는 행위,"회사는 계정 정보 보호 및 개인정보 관련 법규를 준수하기 위해, 고객이 Blizzard 계정에 유효하지 않은 정보, 사실과 다른 정보 또는 허위 정보를 기재한 사실을 인지한 경우, 사용자가 유효한 정보를 제공할 때까지 계정 이용이 불가능하도록 조치를 취할 수 있습니다."
제4장 위반 행위,제7조 유효하지 않은 개인정보 또는 허위 개인정보를 계정과 관련하여 이용하는 행위,"회사는 계정 정보 보호 및 개인정보 관련 법규를 준수하기 위해, 고객이 Blizzard 계정에 유효하지 않은 정보, 사실과 다른 정보 또는 허위 정보를 기재한 사실을 인지한 경우, 사용자가 유효한 정보를 제공할 때까지 계정 이용이 불가능하도록 조치를 취할 수 있습니다.- 1차 : 경고 및 수정 요청"
제4장 위반 행위,제7조 유효하지 않은 개인정보 또는 허위 개인정보를 계정과 관련하여 이용하는 행위,"회사는 계정 정보 보호 및 개인정보 관련 법규를 준수하기 위해, 고객이 Blizzard 계정에 유효하지 않은 정보, 사실과 다른 정보 또는 허위 정보를 기재한 사실을 인지한 경우, 사용자가 유효한 정보를 제공할 때까지 계정 이용이 불가능하도록 조치를 취할 수 있습니다.- 2차 : 유효한 정보 제공 시까지 (이메일 인증 등) 계정 잠금"
제4장 위반 행위,제7조 유효하지 않은 개인정보 또는 허위 개인정보를 계정과 관련하여 이용하는 행위,"회사는 계정 정보 보호 및 개인정보 관련 법규를 준수하기 위해, 고객이 Blizzard 계정에 유효하지 않은 정보, 사실과 다른 정보 또는 허위 정보를 기재한 사실을 인지한 경우, 사용자가 유효한 정보를 제공할 때까지 계정 이용이 불가능하도록 조치를 취할 수 있습니다.- 단, 유효하지 않은 이메일 또는 허위 이메일로 인해 경고 및 수정 요청이 불가능할 경우에는 바로 2차를 진행할 수 있습니다."
제4장 위반 행위,제8조 결제 또는 환불 기능의 부정 이용 혹은 상업적 이용,"결제 또는 환불 기능은 Battle.net 상점의 이용행위로서 당사의 약관에 따라 개인적, 비상업적 목적으로만 이용가능합니다."
제4장 위반 행위,제8조 결제 또는 환불 기능의 부정 이용 혹은 상업적 이용,"이용자는 [블리자드 게임 환불 안내]에 기재된 규정에 따라 환불을 요청할 수 있으며, 회사는 환불 신청이 정당한지 심사 후 환불 여부를 결정할 수 있습니다. 정상적인 거래로 보이지 않는 환불 요청에 대하여는 그 사유가 해소될 때까지 일정 기간 환불을 보류할 수 있습니다. 다음과 같은 경우에는 행위 유형에 따라 게임, 계정의 정지 또는 Battle.net 상점 이용의 제한 조치가 취해질 수 있으며, 반복적인 위반행위가 확인될 경우 더욱 강력한 제재가 취해질 수 있습니다."
제4장 위반 행위,제8조 결제 또는 환불 기능의 부정 이용 혹은 상업적 이용,"이용자는 [블리자드 게임 환불 안내]에 기재된 규정에 따라 환불을 요청할 수 있으며, 회사는 환불 신청이 정당한지 심사 후 환불 여부를 결정할 수 있습니다. 정상적인 거래로 보이지 않는 환불 요청에 대하여는 그 사유가 해소될 때까지 일정 기간 환불을 보류할 수 있습니다. 다음과 같은 경우에는 행위 유형에 따라 게임, 계정의 정지 또는 Battle.net 상점 이용의 제한 조치가 취해질 수 있으며, 반복적인 위반행위가 확인될 경우 더욱 강력한 제재가 취해질 수 있습니다.- 환불 및 결제를 비정상적으로 이용하여 당사 서비스를 방해하는 행위"
제4장 위반 행위,제8조 결제 또는 환불 기능의 부정 이용 혹은 상업적 이용,"이용자는 [블리자드 게임 환불 안내]에 기재된 규정에 따라 환불을 요청할 수 있으며, 회사는 환불 신청이 정당한지 심사 후 환불 여부를 결정할 수 있습니다. 정상적인 거래로 보이지 않는 환불 요청에 대하여는 그 사유가 해소될 때까지 일정 기간 환불을 보류할 수 있습니다. 다음과 같은 경우에는 행위 유형에 따라 게임, 계정의 정지 또는 Battle.net 상점 이용의 제한 조치가 취해질 수 있으며, 반복적인 위반행위가 확인될 경우 더욱 강력한 제재가 취해질 수 있습니다.- 당사의 환불 규정을 악용하여 수차례에 걸친 환불로 당사의 서비스를 무단으로 이용하는 행위"
제4장 위반 행위,제8조 결제 또는 환불 기능의 부정 이용 혹은 상업적 이용,"이용자는 [블리자드 게임 환불 안내]에 기재된 규정에 따라 환불을 요청할 수 있으며, 회사는 환불 신청이 정당한지 심사 후 환불 여부를 결정할 수 있습니다. 정상적인 거래로 보이지 않는 환불 요청에 대하여는 그 사유가 해소될 때까지 일정 기간 환불을 보류할 수 있습니다. 다음과 같은 경우에는 행위 유형에 따라 게임, 계정의 정지 또는 Battle.net 상점 이용의 제한 조치가 취해질 수 있으며, 반복적인 위반행위가 확인될 경우 더욱 강력한 제재가 취해질 수 있습니다.- 결제 또는 환불을 반복적이거나 대량으로 이용하여 개인적, 비상업적인 목적에서 벗어난 것으로 볼 수 있는 행위"
제4장 위반 행위,제9조 기타 블리자드 이용자 커뮤니티상의 부적절한 행위,"Battle.net의 “소셜”기능을 포함한 이용자 커뮤니티상의 행위에서 드러나는 행동에 대한 책임은 전적으로 본인에게 있습니다. 상대방이 불쾌하다고 느낄 수 있는 표현이나 행동, 언어사용을 해서는 안 됩니다. 다른 플레이어들에게 만족스럽지 못한 경험을 유발하는 행위들에 대해서는 그에 합당한 제재가 이루어질 것입니다."
