장,조,내용
제 1 장 총칙,제1조 (목적),이 약관은 ㈜스마일게이트알피지(이하 '회사')가 온라인으로 제공하는 게임 로스트아크 및 이에 부수된 제반 서비스(이하 “게임서비스”)에 사용되는 로열 크리스탈의 이용조건 및 절차에 관한 사항을 규정함을 목적으로 합니다.
제 1 장 총칙,제2조 (용어의 정의),"1. 스토브: 홈페이지(http://www.onstove.com/)를 통해 게임서비스 플랫폼을 운영하는 ㈜스마일게이트스토브를 말하며, 회사는 스토브의 회원들을 대상으로 회원가입 후 게임서비스를 제공합니다."
제 1 장 총칙,제2조 (용어의 정의),"2. 로열 크리스탈: 회사가 제공하는 유료서비스를 이용하기 위해 회원이 구매하는 가상의 화폐를 말하며, 현금 1 원은 1 로열 크리스탈과 동일한 가치를 지닙니다. 로열 크리스탈은 회원 계정(ID)을 기준으로 충전, 결제, 환불 등이 가능합니다."
제 1 장 총칙,제2조 (용어의 정의),3. 충전: 충전은 유료충전과 무료충전 두 가지가 있습니다.
제 1 장 총칙,제2조 (용어의 정의),"3. 충전: 충전은 유료충전과 무료충전 두 가지가 있습니다.가. 유료충전은 스토브 혹은 회사에서 제공하는 결제수단을 통해 일정 금액 단위로 로열 크리스탈을 구입하는 것을 말합니다. 이때 구입한 로열 크리스탈을 유료 로열 크리스탈이라고 하며, 유료 로열 크리스탈은 회원의 계정에 저장됩니다."
제 1 장 총칙,제2조 (용어의 정의),"3. 충전: 충전은 유료충전과 무료충전 두 가지가 있습니다.나. 무료충전은 회사가 이벤트 및 설문 참여, 쿠폰입력 등을 통해 무료로 로열 크리스탈을 충전하는 것을 말합니다. 해당 방식으로 충전된 로열 크리스탈을 무료 로열 크리스탈이라고 합니다."
제 1 장 총칙,제3조 (약관의 효력 및 변경),1. 본 약관의 내용은 홈페이지(http://lostark.game.onstove.com) 및 서비스 화면에 이를 안내하는 방법으로 회원에게 공지함으로써 효력이 발생됩니다.
제 1 장 총칙,제3조 (약관의 효력 및 변경),"2. '회사' 는 본 약관의 내용에 있어 합리적인 변경 사유가 발생할 시, 이를 변경할 수 있습니다."
제 1 장 총칙,제3조 (약관의 효력 및 변경),"3. 본 약관에 명시되지 않은 사항에 대해서는 전기통신기본법, 전기통신사업법, 정보통신망이용촉진등에 관한 법률 및 기타 관련 법령의 규정에 따릅니다."
제 1 장 총칙,제3조 (약관의 효력 및 변경),"4. 회사는 필요하다고 인정되는 경우 이 약관을 변경할 수 있습니다. 회사는 약관이 변경되는 경우에 변경된 약관의 내용과 적용일을 정하여, 그 적용일로부터 7일전 홈페이지에 온라인으로 공시합니다. 다만, 이용자에게 불리하게 약관 내용을 변경하는 경우에는 적용일로부터 30일전 홈페이지에 온라인으로 공시합니다. 변경된 약관은 공시하거나 고지한 적용일로부터 효력이 발생합니다."
