장,조,내용
,제1조 기본정책,"(1) 본 운영정책은 ㈜카카오게임즈(이하 ""회사""라고 함)에서 제공하는 게임 서비스를 회원이 이용함에 있어 원활한 서비스를 제공하고 회원의 사용권 보호를 위한 목적으로 하고 있습니다."
,제1조 기본정책,"(2) 회사는 회원이 최상의 서비스를 이용하실 수 있도록 최선을 다할 것을 약속 드리며, 회원은 운영정책을 숙지하여 불이익을 받지 않도록 유의하셔야 합니다."
,제1조 기본정책,"(3) 회사는 운영정책을 변경할 수 있으며 그 적용일자로부터 최소한 7일 이전(회원에게 불리하거나 중대한 사항의 변경은 30일 이전)에 게임 서비스 내, 공식 카페를 통해 공지합니다."
,제1조 기본정책,(4) 본 운영정책에서 명시되지 않은 사항은 회사의 모바일서비스 이용약관과 관계법령 및 일반적인 상관습에 따라 처리됩니다.
,제2조 회원의 의무와 권리,"(1) 회원은 회사로부터 원활한 서비스를 제공받을 권리가 있으며, 이를 위하여 지켜주셔야 할 사항이 있습니다."
,제2조 회원의 의무와 권리,"(2) 회원은 회사의 게임 서비스 이용약관 및 본 운영정책을 지켜야 하며, 이를 위반할 시 서비스 이용제한을 받을 수 있습니다."
,제2조 회원의 의무와 권리,"(3) 회원은 가입 시 본인의 정보로 가입을 해야 하며, 타인의 개인정보를 도용하거나 허위정보를 등록하여 발생하는 피해에 대해 회사로부터 보호를 받을 수 없습니다. 또한 개인정보 도용으로 인한 문제에 책임져야 합니다."
,제2조 회원의 의무와 권리,(4) 회원은 회사의 사전 승낙 없이 서비스가 제공하는 컨텐츠를 이용하여 영리행위를 하실 수 없습니다.
,제2조 회원의 의무와 권리,"(5) 회원은 회사의 서비스를 이용하여 얻은 정보를 회사의 사전 승낙 없이 복사/복제/변경/번역/출판/방송 등의 기타 방법으로 사용하거나, 이를 타인에게 제공할 수 없습니다."
,제2조 회원의 의무와 권리,"(6) 게임의 취약점 (버그, 계정도용, 불법프로그램등)을 발견했을 경우 고객센터(1:1 문의 등)를 통해 신고 및 제보 주셔야 하며, 이를 이용, 악용하거나 타인에게 공유하는 등을 통해 이득을 얻는 경우 본 운영정책에서 정하는 제재를 받을 수 있습니다."
,제2조 회원의 의무와 권리,"(7) 회원이 회사가 공식적으로 제공하지 않는 프로그램을 사용하여 자신에게 문제가 발생한 경우, 그 결과에 대해 책임져야 합니다"
,제2조 회원의 의무와 권리,"(8) 회원은 서비스 이용 중 부당한 대우 또는 문제가 발생했다고 판단하는 경우, 고객센터 등의 공식 경로를 통해 문의하고 수정을 요청할 수 있습니다."
,제2조 회원의 의무와 권리,(9) 회원은 아래의 경로를 통하여 서비스 관련 문의를 하실 수 있습니다.
,제2조 회원의 의무와 권리,(9) 회원은 아래의 경로를 통하여 서비스 관련 문의를 하실 수 있습니다.게임 내 고객센터 1:1문의
,제2조 회원의 의무와 권리,"(10) 회사는 고객의 문의, 건의 등에 대하여 성실하게 답변해 드릴 것이나, 접수된 문의의 양과 내용에 따라 부득이하게 답변이 지연될 수 있음을 양해해 주시기 바랍니다."
,제3조 계정 관리,(1) 회원은 본인의 계정을 스스로 관리해야 합니다.
,제3조 계정 관리,(2) 회원은 계정의 비밀번호를 주기적으로 변경하여 계정 도용 등 타인의 부정한 행위로부터 회원의 정보를 보호할 수 있습니다.
,제3조 계정 관리,"(3) 계정 및 아이템 등 게임데이터의 공유/비정상적인 방법으로의 거래/양도는 인정되지 않으며, 이로 인해 발생하는 문제(사기, 계정도용)에 대하여 도움을 드릴 수 없습니다."
,제3조 계정 관리,"(4) 타인과의 계정 및 아이템 등 게임데이터의 현금/현물 거래를 시도할 경우 이용 권한이 박탈 될 수 있으며, 이로 인해 발생하는 문제에 대해서는 도움을 드릴 수 없습니다. 또한 계정 공유, 현금/현물 거래로 인해 일어나는 모든 문제에 대한 책임은 계정을 등록한 본인에게 있습니다."
,제3조 계정 관리,"(5) 제3자의 주민등록번호, 계정 등을 도용하는 행위는 관련 법률에 의거하여 형사처벌의 대상이 될 수 있습니다."
,제3조 계정 관리,"(6) “회사”는 고객의 개인정보(주민등록번호, 신상정보 등)를 요구하지 않습니다. 운영자 및 회사 관계자를 사칭한 개인정보 유출에 주의하시기 바랍니다."
,제4조 서비스 이용제한 조치,(1) 회사는 원활한 서비스 제공을 위하여 게임진행 방해 또는 미풍양속을 저해하는 행위 등을 하는 회원들의 서비스 이용을 제한할 수 있습니다.
,제4조 서비스 이용제한 조치,"(2) 운영 정책에 명시된 기준을 위반하는 경우 서비스 이용에 제한을 받으실 수 있으며, 회사는 이용제한 조치를 하는 경우 회원에게 사전 통지합니다. 다만, 긴급히 조치할 필요가 있는 경우에는 사후에 통지할 수 있습니다."
,제4조 서비스 이용제한 조치,(3) 운영 정책에 따른 서비스 이용 제한 기준은 제재기준표를 따릅니다.
,제4조 서비스 이용제한 조치,(4) 회사는 운영 정책 및 약관 위반 행위 당시의 상황이나 서비스에 미치는 영향을 고려하여 제재기준표보다 더 강하게 제재 할 수 있습니다.
,제4조 서비스 이용제한 조치,(5) 회사는 제재기준표에 기재되지 않은 상황이라 하더라도 약관 및 관계법령에 위배되는 행위에 대해서는 그 경중에 따라 제재가 적용될 수 있습니다.
,제4조 서비스 이용제한 조치,(6) 서비스 이용제한이 되었을 경우 이용제한 적용일로부터 14일 이내에 아래와 같은 해명 절차를 통해 이의신청을 하실 수 있습니다.
,제4조 서비스 이용제한 조치,(6) 서비스 이용제한이 되었을 경우 이용제한 적용일로부터 14일 이내에 아래와 같은 해명 절차를 통해 이의신청을 하실 수 있습니다.1:1문의 또는 각 게임 별 서비스 이메일
,제4조 서비스 이용제한 조치,"(7) 회사는 버그 확인, 특정 피해, 정책 위반 행위와 같이 긴급하게 사실 확인이 필요한 경우 사전고지 없이 계정을 최대 7일까지 임시제한하고 이후 해제 또는, 제한 전환을 할 수 있습니다."
,제5조 작명 정책,"(1) 작명 정책은 게임에서 사용하는 모든 캐릭터명, 닉네임, 길드명 등 고객이 선정하는 모든 명칭에 동일하게 적용됩니다."
,제5조 작명 정책,"(2) 회원은 자유롭게 캐릭터명, 닉네임, 길드명 등을 사용하실 수 있습니다. 단, 다음과 같은 명칭 사용이 적발되는 경우, 사전 경고 없이 제한 및 임의 변경이 될 수 있고, 회사에서 필요한 조치를 취할 수 있습니다."
