장,조,내용,LABEL 1,LABEL 1 근거,LABEL 2,LABEL 2 근거
제 1 장 총칙,제1조 (목적),이 약관은 ㈜네오플 (이하 '회사'라 칭함)의 인터넷 게임 서비스 및 사이퍼즈 (http://cyphers.nexon.com 이하 '사이퍼즈'라 칭함) 을 통하여 제공되는 각종 유료 서비스 및 서비스 이용을 위한 '테라' 의 이용조건 및 절차에 관한 사항을 규정함을 목적으로 합니다.,0,,,
제 1 장 총칙,제2조 (약관의 효력 및 변경),① 본 약관의 내용은 홈페이지 및 서비스 화면에 이를 공지하거나 전자우편 등의 방법으로 회원에게 공지함으로써 효력이 발생됩니다.,0,,,
제 1 장 총칙,제2조 (약관의 효력 및 변경),"② '회사' 는 본 약관의 내용에 있어 합리적인 변경 사유가 발생할 시, 이를 변경할 수 있습니다.",0,,,
제 1 장 총칙,제2조 (약관의 효력 및 변경),"③ 본 약관에 명시되지 않은 사항에 대해서는 전기통신기본법, 전기통신사업법, 정보통신망이용촉진등에 관한 법률 및 기타 관련 법령의 규정에 따릅니다.",0,,,
제 1 장 총칙,제2조 (약관의 효력 및 변경),"④ 회사는 필요하다고 인정되는 경우 이 약관을 변경할 수 있습니다. 회사는 약관이 변경되는 경우에 변경된 약관의 내용과 적용일을 정하여, 그 적용일로부터 7일전 홈페이지에 온라인으로 공시합니다. 다만, 이용자에게 불리하게 약관 내용을 변경하는 경우에는 적용일로부터 30일전 홈페이지에 온라인으로 공시하거나 회원이 입력한 가장 최근의 e-mail로 전송하는 방법으로 회원에게 고지합니다. 변경된 약관은 공시하거나 고지한 적용일로부터 효력이 발생합니다.",0,,,
제 1 장 총칙,제3조 (용어의 정의),"① '테라' 는 ㈜네오플에서 서비스하는 유료 콘텐츠만을 이용하기 위해 회원이 구매하는 가상의 화폐를 말하며, 현금 1 원은 1 테라와 동일한 가치를 지닙니다.",0,,,
제 1 장 총칙,제3조 (용어의 정의),"② '충전' 은 유료충전과 무료충전 두가지가 있습니다. 유료충전은 회사에서 제공하는 결제수단을 통해 일정 금액 단위로 '테라' 를 구입하는 것을 말합니다. 이때 구입한 '테라' 는 '사이퍼즈' 의 아이디에 저장됩니다. 무료충전은 사이퍼즈 홈페이지의 ""테라무료충전소"", ""테라상품권"", 그밖에 이벤트, 설문 참여, 쿠폰입력 등을 통해 무료로 테라를 충전하는 것을 말합니다.",0,,,
제 1 장 총칙,제3조 (용어의 정의),"③ ‘테라’는 사이퍼즈 아이디를 기준으로 충전, 결제, 환불 등이 가능합니다.",0,,,
제 1 장 총칙,제4조 (테라의 충전),"① 테라의 충전은 신용카드, 휴대폰 결제, 도서문화상품권, 문화상품권, 해피머니 상품권, BC TOP포인트, 무통장, 실시간 계좌이체, 신한카드 포인트, 국민 KB 포인트리, 넥슨카드, 편의점 결제, 모바일 티머니 등 회사에서 제공하는 결제방식을 이용한 유료충전과 ""테라무료충전소"", ""테라상품권"", ""쿠폰입력"", 그 밖에 이벤트, 설문 참여 등을 이용한 무료충전을 통해서 가능합니다.",0,,,
제 1 장 총칙,제4조 (테라의 충전),"② 테라 충전은 회사의 내부 정책에 의해 제공되는 단위로 충전할 수 있습니다. 다만, 선택된 결제수단별로 충전단위가 상이할 수 있습니다. 또한 회사는 정책에 따라 월 충전 한도를 제한할 수 있으며, 이 때 결제 수단 운영회사나 정부의 방침 등에 따라 각 결제수단별로 별도의 결제한도가 부여될 수 있습니다.",0,,,
