장,조,내용,LABEL 1,LABEL 1 근거,LABEL 2,LABEL 2 근거
,제 1조 총칙,"① 본 “운영정책”은 “게임” 서비스 운영 상 발생할 수 있는 문제점에 대해 합리적이며 공정하게 대처하기 위하여 마련되었으며, “회사”가 서비스를 운영하고, 회원 여러분이 서비스를 이용함에 있어 필요한 세부 규칙을 담고 있습니다.",0,,,
,제 1조 총칙,"② “회사”는 “게임”의 효율적인 운영을 위해 본 “운영정책”의 내용을 추가, 변경, 삭제할 수 있습니다. 이 경우 “회사”는 추가, 변경, 삭제된 내용을 “게임” 내 관련 커뮤니티나 홈페이지 등 기타 연락이 가능한 하나 이상의 통지 방법을 통해 적용 7일 전에 개정 내용과 사유를 명시하여 공지합니다. 단, “회원”에게 불리하거나 중대한 사항의 경우 30일 이전에 공지합니다.",0,,,
,제 1조 총칙,"③ 본 “운영정책”은 넷마블 모바일 서비스 이용약관(이하 “약관”)에서 정한 사항을 보충하는 역할을 하며, 이용자의 “약관” 위반 행위에 대한 제재, 제재에 대한 이의 절차 등 “회사”의 “게임”, “게임”에 부수한 서비스(""커뮤니티"" 등)의 운영 기준을 규정하고 있습니다.",0,,,
,제 1조 총칙,"④ 본 ""운영정책""에 명시되지 않은 사항은 이용약관, 관계법령 및 기타 일반적인 상관례에 따라 사안을 처리합니다.",0,,,
,제 2조 용어의 정의,① 본 “운영정책”에서 사용하는 용어의 정의는 아래와 같습니다.,0,,,
,제 2조 용어의 정의,① 본 “운영정책”에서 사용하는 용어의 정의는 아래와 같습니다.1. “계정”이라 함은 “회원”이 게임 클라이언트를 설치하여 최초 접속 시 “회사”가 발급한 고유 식별 코드를 의미합니다.,0,,,
,제 2조 용어의 정의,"① 본 “운영정책”에서 사용하는 용어의 정의는 아래와 같습니다.2. “아이템”이라 함은 “회원”이 게임 내에서 이용 가능한 게임 데이터(캐릭터카드, 행운아이템, 보조옵션, 보석 등)를 의미합니다.",0,,,
,제 2조 용어의 정의,"① 본 “운영정책”에서 사용하는 용어의 정의는 아래와 같습니다.3. ""패밀리""라 함은 ""회원""이 게임 내에서 창설 또는 가입을 통해 이용 가능한 단체 콘텐츠입니다.",0,,,
,제 2조 용어의 정의,"① 본 “운영정책”에서 사용하는 용어의 정의는 아래와 같습니다.4. ""커뮤니티""라 함은 게임 서비스와 관련된 각종 의견 개진과 정보의 공유 등을 위해 회사가 제공하는 온라인 공간을 의미하며, 공식 홈페이지, 공식 카페, SNS 등 게임서비스와 관련하여 ""회사""가 제공하는 내/외부 ""커뮤니티""를 포함합니다.",0,,,
,"제 3조 ""회원""의 권리와 의무",① “회원”의 권리,0,,,
,"제 3조 ""회원""의 권리와 의무","① “회원”의 권리1. “회원”은 “게임”에서 유료 혹은 무료로 제공하는 콘텐츠를 “약관”에 따라 이용할 수 있습니다. 단, “약관”상의 이용 권리를 제외한 “게임” 내 “캐릭터”, 아이템 등 모든 콘텐츠에 대한 권리(저작권 등)는 “회사”가 보유합니다.",0,,,
