장,조,내용,LABEL 1,LABEL 1 근거,LABEL 2,LABEL 2 근거
,제1조 목적,"본 약관은 ㈜카카오게임즈 (이하 ""회사""라 합니다)이 디바이스를 통해 제공하는 게임 서비스 및 이에 부수하는 네트워크, 웹사이트 및 기타 회사가 제공하는 서비스 일체 (이하 “서비스”)를 이용하는 서비스 이용자(이하 “회원”이라 합니다)와 회사 간의 권리와 의무, 책임사항, 기타 필요한 사항을 규정함을 목적으로 합니다.",0,,,
,제2조 용어정의,1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.,0,,,
,제2조 용어정의,1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.(1) “회사”라 함은 디바이스를 통하여 서비스를 제공하는 사업자를 의미합니다.,0,,,
,제2조 용어정의,"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.(2) “회원”이란 본 약관에 따라 이용계약을 체결하고 개인정보 제공에 동의하며, 회사가 제공하는 서비스를 이용하는 자를 의미합니다.",0,,,
,제2조 용어정의,1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.(3) “임시회원”이란 일부 정보만 제공하고 회사가 제공하는 서비스의 일부만 이용하는 자를 의미합니다.,0,,,
,제2조 용어정의,"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.(4) “디바이스”란 콘텐츠를 다운로드 받거나 설치하여 사용할 수 있는 기기로서, 휴대전화, 스마트폰, 휴대정보단말기(PDA), 태블릿 및 기타 콘텐츠를 다운로드 받거나 설치하여 사용하거나 네트워크를 통해 이용할 수 있는 기기를 의미합니다.",0,,,
,제2조 용어정의,"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.(5) “계정정보”란 회원의 회원정보와 외부계정정보, 기기정보, 개인프로필(모바일 플랫폼 서비스에서 이용자의 식별을 위해 부여한 회원번호, 닉네임, 프로필 사진 등 포함) 등 회원이 회사에 제공한 정보와 게임이용정보(캐릭터정보, 아이템, 레벨 등), 이용요금 결제 정보 등의 생성정보를 통칭합니다.",0,,,
,제2조 용어정의,"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.(6) “콘텐츠”란 디바이스에서 회사가 제공하는 서비스와 관련되어 디지털 방식으로 제작한 유료 또는 무료의 내용물 일체(게임 및 네트워크 서비스, 애플리케이션, 게임 머니, 게임 아이템 등)를 의미합니다.",0,,,
,제2조 용어정의,1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.(7) “오픈마켓”이란 디바이스에서 게임 콘텐츠를 설치하고 결제할 수 있도록 구축된 전자상거래 환경을 의미합니다.,0,,,
,제2조 용어정의,1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.(8) “애플리케이션”이란 회사가 제공하는 서비스를 이용하기 위하여 디바이스를 통해 다운로드 받거나 설치하여 사용하는 프로그램 일체를 의미합니다.,0,,,
