장,조,내용
제1장 총칙,제1조 (목적),"본 약관은 주식회사 골프존 및 그 계열사(이하 “회사”라 함)가 제공/운영하는 웹사이트 (이하 “멤버십 홈페이지”라 함)와 스마트폰 등 이동통신기기를 통해 제공되는 골프존 모바일 애플리케이션(이하 “골프존앱”이라 함)을 통해서 제공되는 고객 관련 서비스(이하 “서비스”라 함)를 하나의 ID(이하 “아이디”라 함)와 PASSWORD(이하 “비밀번호”라 함)로 이용함에 있어 회사 및 회원의 제반 권리, 의무, 관련 절차 등을 규정하는데 그 목적이 있습니다."
제1장 총칙,제2조 (용어의 정의),본 약관에서 사용하는 주요 용어의 정의는 다음과 같습니다.
제1장 총칙,제2조 (용어의 정의),"본 약관에서 사용하는 주요 용어의 정의는 다음과 같습니다.1. “멤버십 홈페이지”란 회원이 온라인을 통해 서비스를 이용할 수 있는 “회사”의 인터넷 사이트들을 말하며, 추후 변동될 수 있습니다. 각 멤버십 홈페이지에서 서비스를 원활히 이용하고자 하는 회원은 “회사”에서 정하는 회원 가입 절차를 거쳐야 합니다."
제1장 총칙,제2조 (용어의 정의),골프존 멤버십 홈페이지
제1장 총칙,제2조 (용어의 정의),제공 서비스 브랜드명
제1장 총칙,제2조 (용어의 정의),홈페이지 주소
제1장 총칙,제2조 (용어의 정의),골프존닷컴
제1장 총칙,제2조 (용어의 정의),http://www.golfzon.com
제1장 총칙,제2조 (용어의 정의),GDR
제1장 총칙,제2조 (용어의 정의),http://gdr.golfzon.com
제1장 총칙,제2조 (용어의 정의),골프존아카데미
제1장 총칙,제2조 (용어의 정의),http://gdr.golfzon.com/ga/guide/main
제1장 총칙,제2조 (용어의 정의),골프존유통
제1장 총칙,제2조 (용어의 정의),http://www.golfzonretail.com/
제1장 총칙,제2조 (용어의 정의),골프존마켓
제1장 총칙,제2조 (용어의 정의),http://www.golfzonmarket.com
제1장 총칙,제2조 (용어의 정의),골핑
제1장 총칙,제2조 (용어의 정의),http://golping.golfzon.com
제1장 총칙,제2조 (용어의 정의),골프존카운티
제1장 총칙,제2조 (용어의 정의),http://www.golfzoncounty.com
제1장 총칙,제2조 (용어의 정의),티스캐너
제1장 총칙,제2조 (용어의 정의),http://www.teescanner.com
제1장 총칙,제2조 (용어의 정의),골프존 파크
제1장 총칙,제2조 (용어의 정의),http://www.golfzonpark.com
제1장 총칙,제2조 (용어의 정의),비전홈
제1장 총칙,제2조 (용어의 정의),http://www.golfercareplus.com
제1장 총칙,제2조 (용어의 정의),"http://www.golfercareplus.com2. “이용자”란 “멤버십 홈페이지”에 접속하여 본 약관에 따라 “멤버십 홈페이지”가 제공하는 서비스를 받거나 회사의 “영업점”에서 회사가 제공하는 서비스를 이용하는 회원, 준회원 및 비회원을 말합니다."
제1장 총칙,제2조 (용어의 정의),"http://www.golfercareplus.com3. “회원”이란 회사의 영업점이나 멤버십 홈페이지를 통해 본 약관에 정해진 가입 절차에 따라 가입하여 정상적으로 멤버십 홈페이지와 골프존앱 및 골프존 멤버십 서비스를 이용할 수 있는 권한 및 회원 ID를 부여 받은 고객을 말합니다. 단, 회원 가입 시 본인인증 절차를 거치지 않은 경우 “회사”가 제공하는 서비스 중 일부가 제한됩니다."
제1장 총칙,제2조 (용어의 정의),http://www.golfercareplus.com4. “비회원”이란 회원으로 가입하지 않고 회사가 제공하는 서비스를 이용하는 사람을 말합니다.
제1장 총칙,제2조 (용어의 정의),http://www.golfercareplus.com5. “준회원”이란 “준회원가입” 절차를 통해 “회사”가 제공하는 서비스를 일부 제한적으로 이용할 수 있는 권한을 부여 받은 고객을 말합니다.  준회원이 추후 정해진 가입 절차에 따라 “회원”이 되면 준회원 상태에서 보유한 정보를 본 약관이 정하는 바에 따라 승계하여 사용할 수 있습니다.
