장,조,내용
,,[제1장 총칙]
,제1조 목적,"본 이용약관(이하 “약관”)은 ㈜네오위즈(이하 “회사”)에서 운영하는 피망, 세이클럽(이하 “서 비스”)를 이용함에 있어 회사와 회원의 권리, 의무 및 기타 필요한 사항을 규정함을 목적으로 합니다."
,제2조 용어의 정의,본 약관에서 사용되는 주요한 용어의 정의는 다음과 같습니다.
,제2조 용어의 정의,"본 약관에서 사용되는 주요한 용어의 정의는 다음과 같습니다.1. 회원 : 회사에 개인정보를 제공하여 회원가입을 한 자로서, 회사와 서비스 이용계약을 체결하고 회원 아이디(ID)를 부여 받은 자를 말합니다."
,제2조 용어의 정의,본 약관에서 사용되는 주요한 용어의 정의는 다음과 같습니다.2. 회원 아이디(이하 “회원ID”) : 회원의 식별과 회원의 서비스 이용을 위하여 회원이 선정하고 회사가 승인하는 문자 또는 숫자의 조합을 말합니다.
,제2조 용어의 정의,"본 약관에서 사용되는 주요한 용어의 정의는 다음과 같습니다.3. 비밀번호 : 회원이 부여받은 ID와 일치된 회원임을 확인하고, 회원의 개인정보를 보호하기 위하여 회원이 정한 문자와 숫자의 조합을 말합니다."
,제2조 용어의 정의,본 약관에서 사용되는 주요한 용어의 정의는 다음과 같습니다.4. 가입해지 : 회사 또는 회원이 이용계약을 해지하는 것을 말합니다.
,제2조 용어의 정의,본 약관에서 사용되는 주요한 용어의 정의는 다음과 같습니다.5. 프리미엄 서비스 : 회사가 유료로 제공하는 각종 디지털 컨텐츠 서비스를 말합니다.
,제2조 용어의 정의,본 약관에서 사용되는 주요한 용어의 정의는 다음과 같습니다.6. 피망캐쉬 : 피망 서비스 내에서 프리미엄 서비스를 이용 또는 구매하는데 사용할 수 있는 인터넷상의 사이버머니를 말합니다.
,제2조 용어의 정의,본 약관에서 사용되는 주요한 용어의 정의는 다음과 같습니다.7. 세이캐쉬 : 세이클럽 서비스 내에서 프리미엄 서비스를 이용 또는 구매하는데 사용할 수 있는 인터넷상의 사이버머니를 말합니다.
,제3조 약관의 명시와 개정,1. 회사는 본 약관의 내용을 회원이 쉽게 알 수 있도록 회사의 초기 서비스화면에 게시합니다.
,제3조 약관의 명시와 개정,"2. 회사는 약관의 규제에 관한 법률, 정보통신망이용촉진 및 정보보호에 관한 법률, 전자상거래등에서의 소비자보호에 관한 법률 등 관련법을 위배하지 않는 범위에서 본 약관을 개정할 수 있습니다."
