장,조,내용
,제 1 조 (목적),"본 약관은 룽투코리아(이하 ""회사"")가 제공하는 유•무선을 이용한 인터넷 서비스 또는 온•오프라인 상의 게임 서비스(이하 ""서비스"")의 이용과 관련하여 “회사”와 회원 간의 권리, 의무 및 책임사항, 기타 필요한 사항 등 서비스 이용에 필요한 제반 사항을 규정함을 목적으로 합니다."
,제 2 조 (용어의 정의),1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.
,제 2 조 (용어의 정의),"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.1) ""서비스""라 함은 접속 가능한 유•무선 단말기의 종류와 상관없이 ""회사""가 제공하며 이용 가능한 서비스 일체를 의미합니다."
,제 2 조 (용어의 정의),"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.2) ""단말기""라 함은 휴대전화(스마트폰), 태블릿PC, 탭북, 휴대용 게임기, PDA, 콘솔 게임기, PC 등 ""서비스""를 이용할 수 있는 기기를 말합니다."
,제 2 조 (용어의 정의),"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.3) ""이용자""라 함은 본 약관 및 개인 정보 제공에 동의하고 ""서비스""를 이용하는 자를 말합니다."
,제 2 조 (용어의 정의),"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.4) ""오픈마켓""과 ""오픈마켓 사업자""라 함은 서비스의 설치, 결제, 소개의 기능을 제공하는 ""오픈마켓""과 ""오픈마켓 운영 전자상거래 업체""를 말합니다."
,제 2 조 (용어의 정의),"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.5) ""아이디""라 함은 ""서비스"" 내에서 이용자 식별을 위해 이용자가 선택하고 ""회사""가 승인한 문자와 숫자의 조합을 의미합니다."
,제 2 조 (용어의 정의),"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.6) ""결제업체""라 함은 신용카드, 휴대폰결제 등 ""오픈마켓""에서 사용 가능 한 전자 지급수단을 제공하는 업체를 말합니다."
,제 2 조 (용어의 정의),"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.7) ""아이템""이라 함은 게임 내에서 사용할 수 있는 캐릭터, 스킬, 룬, 게임 내 머니, 기타 일정 또는 랜덤 한 결괏값을 나타낼 수 있도록 하는 데이터를 의미합니다."
,제 2 조 (용어의 정의),"1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.8) ""유료 아이템""이라 함은 ""유료 결제""를 통해 유료로 구매한 ""아이템""을 의미합니다."
,제 2 조 (용어의 정의),1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.9) “임시회원”은 회원 인증을 하지 않고 게스트 로그인 모드로 이용하는 이용자를 의미합니다.
,제 2 조 (용어의 정의),1. 본 약관에서 사용하는 용어의 정의는 다음과 같습니다.10) 본 약관에서 정의하지 아니한 용어에 대해서는 관계법령 또는 상 관례에 따릅니다.
,제 3 조 (약관의 게시와 개정),"1. 본 약관은 ""서비스""를 이용하고자 하는 모든 ""이용자""에 대하여 서비스에 게시하거나 기타의 방법으로 이용자에게 공지함으로써 효력이 발생합니다."
,제 3 조 (약관의 게시와 개정),"2. ""회사""는 약관의 규제에 관한 전자상거래 등에서의 소비자보호에 관한 법률, 약관의 규제에 관한 법률, 게임산업 진흥에 관한 법률, 정보통신망 이용 촉진 및 정보보호 등에 관한 법률, 콘텐츠산업 진흥 법 등 관련 법령에 따르며, 관계법령에 위배되지 않는 범위 내에서 이 약관을 개정할 수 있습니다."
,제 3 조 (약관의 게시와 개정),"3. ""회사""는 개정된 약관에 대해서 적용일 7일 전까지 ""서비스""에 공시합니다. 단, 이용자에게 불리하거나 중대한 사항이 변경된 경우 30일 전까지 ""서비스""에 공시합니다. 개정된 약관은 공시된 시행 일로부터 효력이 발생합니다."
,제 3 조 (약관의 게시와 개정),"4. 개정된 약관과 관련하여 ""이용자""는 거부할 권리가 있습니다. 개정된 약관을 동의하지 않는 경우 ""이용자""는 서비스로부터 이용계약을 해지(서비스의 탈퇴) 할 수 있습니다. 본 약관의 개정과 관련하여 시행일 이전 사전 공시하였음에도 약관 시행일 이후 거부 의사표시를 하지 아니할 경우 ""이용자""는 자동적으로 개정 약관에 동의한 것으로 간주하며, 변경된 약관에 대한 정보를 알지 못해 발생하는 ""회원""의 피해는 ""회사""에서 책임지지 않습니다."
,제 4 조 (이용계약의 체결),"1. 이용계약은 ""이용자""가 되고자 하는 자(이하 ""가입 신청자"")가 ""오픈마켓""의 약관 및 정책에 따라 ""회사""의 ""서비스""를 다운로드해 본 이용약관에 동의를 함으로써 체결됩니다. 단, ""회사""의 기술적, 사업적, 법적 문제로 인하여 이용이 제한될 수도 있습니다."
,제 4 조 (이용계약의 체결),"2. ""이용자""는 이용계약 전 ""오픈마켓""에 명시된 가격정보, 기술정보, 주의사항 등을 확인하여 다운로드해야 합니다. “회사는” ""오픈마켓""과 이용자 간의 분쟁에 개입하지 않으며, 어떠한 책임도 부담하지 않습니다."
,제 4 조 (이용계약의 체결),"3. ""회사""는 “구글 및 페이스북” 등 타 사업자의 “이용자 정보 연동 기능”을 서비스에 적용할 수 있습니다. 이 경우 ""회사""는 해당 ""회원""의 이용자 정보를 수집/이용할 수 있습니다."
,제 4 조 (이용계약의 체결),"4. ""회사""는 다음 각 호에 해당하는 신청에 대하여는 승낙을 하지 않거나 사후에 이용계약을 해지할 수 있습니다."
,제 4 조 (이용계약의 체결),"4. ""회사""는 다음 각 호에 해당하는 신청에 대하여는 승낙을 하지 않거나 사후에 이용계약을 해지할 수 있습니다.1) 타인의 명의 또는 타인 명의의 정보를 이용하거나 도용한 경우"
,제 4 조 (이용계약의 체결),"4. ""회사""는 다음 각 호에 해당하는 신청에 대하여는 승낙을 하지 않거나 사후에 이용계약을 해지할 수 있습니다.2) 현행 법령에 위배되는 목적 또는 범죄의 목적으로 ""서비스""를 이용하고자 한 경우"
,제 4 조 (이용계약의 체결),"4. ""회사""는 다음 각 호에 해당하는 신청에 대하여는 승낙을 하지 않거나 사후에 이용계약을 해지할 수 있습니다.3) ""회원가입 신청자""가 본 약관에 의하여 이전에 회원자격을 상실한 적이 있는 경우, 단 ""회사""의 동의에 의해서 ""회원가입""을 승낙한 경우는 예외로 함"
,제 4 조 (이용계약의 체결),"4. ""회사""는 다음 각 호에 해당하는 신청에 대하여는 승낙을 하지 않거나 사후에 이용계약을 해지할 수 있습니다.4) 기타 ""회원"" 또는 ""회원가입 신청자""의 귀책사유로 인하여 승인이 불가능하다고 판단되거나 기타 규정한 제반 사항을 위반하여 신청하는 경우"
,제 5 조 (신원정보의 표시 및 콘텐츠의 이용 조건),"1. ""서비스""를 제공하는 ""회사""의 신원정보는 각 ""오픈마켓 사업자""가 제공하는 콘텐츠 판매 화면에서 확인하실 수 있습니다."
,제 5 조 (신원정보의 표시 및 콘텐츠의 이용 조건),"2. ""회사""는 콘텐츠의 정보, 이용조건, 최소 시스템 사양(OS 사양) 등을 콘텐츠 판매 화면에, 이용등급 등은 콘텐츠 판매 화면 및 게임 구동 시 초기화면 등에 표시합니다. ""유료 아이템""의 정보 및 이용조건, 콘텐츠의 이용 등급, 최소 시스템 사양 등에 대한 사항은 아래와 같습니다. 기타 구체적인 사항은 ""오픈마켓"" 내 판매 화면 등에 안내되어 있으므로 해당 페이지에서 제공하는 정보를 참고하시기 바랍니다."
,제 5 조 (신원정보의 표시 및 콘텐츠의 이용 조건),"2. ""회사""는 콘텐츠의 정보, 이용조건, 최소 시스템 사양(OS 사양) 등을 콘텐츠 판매 화면에, 이용등급 등은 콘텐츠 판매 화면 및 게임 구동 시 초기화면 등에 표시합니다. ""유료 아이템""의 정보 및 이용조건, 콘텐츠의 이용 등급, 최소 시스템 사양 등에 대한 사항은 아래와 같습니다. 기타 구체적인 사항은 ""오픈마켓"" 내 판매 화면 등에 안내되어 있으므로 해당 페이지에서 제공하는 정보를 참고하시기 바랍니다.① 공급자: 룽투코리아"
