장,조,내용
,제 1조 이용약관의 의의와 목적,"본 이용약관은 주식회사 미투온(이하 “회사”라 합니다)과 고객님 간에 풀팟 서비스(이하 “서비스”라 합니다) 이용에 관한 주요 사항들을 사전에 약속하는 것으로서, 구체적으로 가입, 이용에 관한 제반 사항들과 기타 사항들을 규정하는 것을 목적으로 합니다."
,제 2조 이용약관의 승낙,회사는 고객님께서 본 이용약관을 승낙하는 것을 전제 조건으로 하여 서비스를 제공합니다.
,제 2조 이용약관의 승낙,회사는 고객님께서 본 이용약관을 승낙하는 것을 전제 조건으로 하여 서비스를 제공합니다.1. 이용약관은 고객님께서 이용약관에 대한 동의의 의사표시 및 이용신청을 하고 이에 대해 회사가 이용 승낙을 함으로써 성립합니다.
,제 2조 이용약관의 승낙,회사는 고객님께서 본 이용약관을 승낙하는 것을 전제 조건으로 하여 서비스를 제공합니다.2. 서비스 회원 가입 시에 “동의”라는 버튼 또는 체크박스를 고객님께서 클릭하시는 행위를 하시면 본 이용약관에 대해 동의의 의사표시를 하신 것으로 간주됩니다.
,제 3조 이용약관의 효력과 변경에 관한 사항,1. 회사는 본 이용약관의 내용을 고객님께서 쉽게 확인할 수 있도록 서비스 초기 화면에 게시하고 있으며 이러한 게시로써 이용약관의 효력이 발생합니다.
,제 3조 이용약관의 효력과 변경에 관한 사항,"2. 본 이용약관의 내용은 제반 상황의 변화에 따라 수시로 변경될 수 있으며 회사는 서비스나 전자우편, 쪽지, 로그인시 동의창 기타의 방법 중 합리적인 수단을 이용해 고객님께 변경내용을 고지합니다."
,제 3조 이용약관의 효력과 변경에 관한 사항,"3. 고객님께서는 본 이용약관을 주기적으로 확인하여야 할 의무를 부담하며, 변경된 약관으로 인해 발생되는 고객님의 손실에 대해 회사는 책임을 지지 않습니다."
,제 3조 이용약관의 효력과 변경에 관한 사항,"4. 본 이용약관의 변경 이후에 서비스를 계속적으로 이용하는 것은 이용약관의 변경 내용에 동의하는 것으로 간주되며, 이용약관의 변경 내용에 대해 동의하지 않는 경우에는 회원 탈퇴의 방법으로 명시적인 반대의 의사표시를 할 수 있습니다."
,제 4조 이용약관의 해석에 관한 사항,"1. 회사는 상황에 따라 유료서비스 및 개별서비스에 대해서 별도의 이용약관 및 정책(이하 “개별이용약관 등”이라 합니다)을 둘 수 있으며, 본 이용약관과 개별이용약관 등의 내용이 상충되는 경우에는 개별이용약관 등의 내용이 우선 적용됩니다."
,제 4조 이용약관의 해석에 관한 사항,"2. 본 이용약관에서 정하지 않은 사항이나 내용에 관해서는 전기통신기본법, 전기통신사업법, 약관 규제에 관한 법률, 전자상거래 등에서의 소비자보호에 관한 법률, 정보통신망 이용촉진 및 정보보호 등 관련 법령이 적용될 수 있습니다."
,제 5조 용어의 정의,이 이용약관에서 사용하는 용어의 정의는 아래와 같습니다.
,제 5조 용어의 정의,"이 이용약관에서 사용하는 용어의 정의는 아래와 같습니다.1. “서비스”라 함은 플랫폼(PC, 휴대용 단말기, TV 등)과 상관없이 회사가 고객님께 제공하는 풀팟 및 제반 서비스를 의미합니다."
,제 5조 용어의 정의,이 이용약관에서 사용하는 용어의 정의는 아래와 같습니다.2. “고객”이라 함은 회사의 서비스에 접속하여 본 이용약관과 회사가 정한 방식에 따라 서비스의 이용에 관한 이용계약을 체결하고 회사가 제공하는 서비스를 이용하는 회원을 의미합니다.
,제 5조 용어의 정의,이 이용약관에서 사용하는 용어의 정의는 아래와 같습니다.3. “아이디(ID)”라 함은 고객님의 서비스 이용과 식별을 위해 고객님께서 선정한 것에 대해 사전에 정해진 조건과 중복을 고려하여 회사가 승인한 문자와 숫자의 조합을 의미합니다.
,제 5조 용어의 정의,이 이용약관에서 사용하는 용어의 정의는 아래와 같습니다.4. “비밀번호”라 함은 고객님께서 부여 받은 아이디에 대해 고객님 본인임을 확인하고 비밀보호를 위해 고객님이 선정한 문자와 숫자 또는 기호의 조합을 의미합니다.
,제 5조 용어의 정의,"이 이용약관에서 사용하는 용어의 정의는 아래와 같습니다.5. “유료서비스”라 함은 회사가 유료로만 고객님께 제공하게 되는 각종 온라인디지털컨텐츠(아이템, 아바타, 기타 유료컨텐츠를 포함합니다)및 이와 관련된 제반 서비스를 의미합니다."
,제 5조 용어의 정의,"이 이용약관에서 사용하는 용어의 정의는 아래와 같습니다.6. “사이버자산”이라 함은 고객님의 원활한 서비스 이용을 위해 회사가 임의로 책정, 지급, 조정 또는 회수할 수 있는 환가성과 재산적 가치가 없는 서비스 상의 가상 데이터로서 통상의 게임머니를 의미합니다."
,제 6조 서비스의 이용신청에 관한 사항,1. 이용계약은 회원이 되고자 하는 자(이하 “회원가입신청자”라 합니다)가 이용약관에 대한 동의의 의사표시를 하고 회원가입 신청을 하면 이에 대해 회사가 승낙함으로써 성립됩니다.
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.① 회원가입신청자가 이전에 본 이용약관에 위배되는 행위를 하여 회원의 자격을 상실한 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.② 실명이 아니거나 타인의 명의를 이용하여 이용신청을 한 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.③ 이용계약 신청서의 내용을 허위로 기재한 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.④ 회사가 요구하는 내용을 기재하지 않은 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.⑤ 사회의 질서나 미풍양속을 저해할 목적으로 신청한 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.⑥ 부정한 용도로 본 서비스를 이용하고자 하는 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.⑦ 본 서비스와 경쟁관계에 있는 이용자가 회사의 이익을 저해하려는 목적으로 신청하는 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.⑧ 영리를 추구할 목적으로 본 서비스를 이용하고자 하는 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.⑨ 기타 규정한 제반 사항을 위반하며 신청하는 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.⑩ 해킹의 목적으로 가입을 신청하는 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.⑪ 회사가 설비의 여유가 없는 경우."
,제 6조 서비스의 이용신청에 관한 사항,"2. 회사는 회원가입신청자의 신청에 대해 업무상 또는 기술상으로 지장이 없는 경우에 한하여 원칙적으로 접수순서에 따라 서비스 이용을 승낙합니다. 다만, 아래의 각 호에 해당하는 경우에 회사는 회원가입신청을 승낙하지 않거나 사후에 이용계약을 해지할 수 있습니다.⑫ 회사의 기술상 지장이 있는 경우."
