장,조,내용
제1장 총   칙,제1조 (목적),"이 약관은 주식회사 컴투스플랫폼(이하 “회사”라 함)이 개발/운영하는 Hive 게임 플랫폼(이하 “Hive”)의 이용과 관련하여 “회사”와 “회원”간의 권리, 의무 및 책임사항, 기타 “Hive 게임 플랫폼 서비스”의 이용에 필요한 사항을 규정함을 그 목적으로 합니다."
제1장 총   칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 아래와 같습니다.
제1장 총   칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 아래와 같습니다.1. “회사”라 함은 유선 및 무선통신망 등을 통하여 “Hive 게임 플랫폼 서비스”를 제공하는 사업자인 주식회사 컴투스플랫폼을 의미합니다.
제1장 총   칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 아래와 같습니다.2. “Hive 게임 플랫폼 서비스” 라 함은 ”회사”가 제공 및 운영하는 플랫폼 서비스로서, “회원”은 “Hive 게임 플랫폼 서비스”의 가입을 통하여 “Hive 게임 플랫폼 서비스”를 탑재한 모바일 어플리케이션 게임 서비스를 동일 “Hive 멤버쉽 계정” 및 “인증 제공자 연동 계정”으로 이용할 수 있으며, 기타 “Hive 게임 플랫폼 서비스” 내 커뮤니티 서비스, “회사”가 제공하는 신규/기존 게임에 대한 정보 제공 서비스 등을 이용할 수 있습니다. “Hive 게임 플랫폼 서비스”는 ”Hive 게임 플랫폼 서비스”가 탑재된 게임 어플리케이션, 별도의 Hive 어플리케이션, PC/모바일 웹사이트 등을 통하여 제공됩니다."
제1장 총   칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 아래와 같습니다.3. “회원”이라 함은 이 약관에 따라 “회사”와 이용계약을 체결하고 “회사”가 제공하는 “Hive 게임 플랫폼 서비스”를 이용하는 고객을 말합니다.
제1장 총   칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 아래와 같습니다.4. “계정”이라 함은 다음 각 호의 어느 하나로서 “회원”을 식별하기 위한 식별표지를 말합니다.
제1장 총   칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 아래와 같습니다.4. “계정”이라 함은 다음 각 호의 어느 하나로서 “회원”을 식별하기 위한 식별표지를 말합니다.가. “Hive 멤버쉽 계정” : “회원”이 선정하고 “회사”가 승인하는 문자, 숫자 또는 특수문자의 조합으로 구성된 계정을 말합니다."
제1장 총   칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 아래와 같습니다.4. “계정”이라 함은 다음 각 호의 어느 하나로서 “회원”을 식별하기 위한 식별표지를 말합니다.나. “인증 제공자 연동 계정” : “회원”이 기 가입한 별도의 SNS(Facebook 등) 또는 단말기 OS에 따라 “회원”이 설정한 애플 게임 센터/구글 플레이 게임 계정 과의 연동을 통하여 설정되는 계정을 말합니다.
제1장 총   칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 아래와 같습니다.4. “계정”이라 함은 다음 각 호의 어느 하나로서 “회원”을 식별하기 위한 식별표지를 말합니다.다. “게스트 계정” : “회사”가 “회원”에게 임의적으로 부여하는 문자, 숫자 또는 특수문자의 조합으로 구성된 계정을 말합니다. “회원”이 “게스트 계정”을 이용하는 경우 “Hive 게임 플랫폼 서비스”의 일부 기능만을 이용할 수 있으며, 단말기 또는 전화번호 변경, 모바일 게임 어플리케이션 삭제 후 재설치 시 기존 게임 데이터, “게시물” 등이 삭제될 수 있습니다."
제1장 총   칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 아래와 같습니다.5. “오픈마켓”이라 함은 애플 앱스토어, 구글 플레이, 티스토어, 올레마켓, 엔스토어 등 어플리케이션 또는 “유료서비스”의 판매를 중개하는 통신판매중개사이트 또는 어플리케이션을 의미합니다."
