장,조,내용
제1장 총칙,제1조 (목적),이 약관은 ㈜플레이위드(이하 '회사')와 멀티미디어 문화컨텐츠 설비제공업자(이하 '사업자') 간에 회사가 제공하는 인터넷 기반 온라인 게임의 서비스 이용 및 온라인 방송 서비스 이용에 관한 기본적인 사항을 규정하는 것을 목적으로 합니다.
제1장 총칙,제2조 (약관의 효력과 변경),"1. 이 약관은 사업자 전용 홈페이지(http://www.playwithzone.com)에서 온라인으로 명시하고, 사업자가 이에 동의함으로써 효력이 발생합니다. 사업자가 오프라인에서 서비스를 신청하는 경우에도 사업자는 사업자 전용 홈페이지에서 이 약관에 동의하는 절차를 거쳐야 합니다."
제1장 총칙,제2조 (약관의 효력과 변경),"2. 회사는 이 약관을 변경할 수 있으며, 변경된 약관은 변경된 약관 적용일 전 7일간 전용 홈페이지 공지를 통해 사업자에게 공지되고 적용일에 효력이 발생합니다."
제1장 총칙,제2조 (약관의 효력과 변경),"3. 사업자는 변경된 약관에 대해 동의하지 않을 권리가 있으며, 변경된 약관에 동의하지 않을 경우에는 서비스 이용을 중단 및 탈퇴를 할 수 있고, 이 경우 이용 요금은 제18조의 규정에 따라 환불됩니다. 다만, 사업자가 제2항의 방법 등으로 별도로 고지한 바에 따라 변경된 약관의 적용 일로부터 15일 이내에 회사에 대해 “거부”의 의사표시를 하지 아니하는 경우에는 변경된 약관의 적용일에 동의한 것으로 간주합니다."
제1장 총칙,제2조 (약관의 효력과 변경),4. 이 약관에 동의하는 것은 정기적으로 사업자 전용 홈페이지(http://www.playwithzone.com)를 방문하여 약관의 변경사항을 확인하는 것에 동의함을 의미합니다. 개정된 약관에 대한 정보를 알지 못해 발생하는 사업자의 피해는 회사에서 책임지지 않습니다.
제1장 총칙,제2조 (약관의 효력과 변경),5. 이 약관은 추후 회사가 추가하는 신규 서비스에 대해서도 동일한 효력을 발휘합니다.
제1장 총칙,제3조 (약관 외 준칙),"이 약관에 명시되지 않은 사항이 관계법령 및 각 서비스 별 안내에 규정되어 있을 경우에는 그 규정에 따릅니다. 다만, 이 약관의 규정과 다른 약관의 규정이 상이한 경우에는 이 약관의 규정이 우선합니다."
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.1. IP 서비스: 회사가 사업자에게 지정한 IP 주소를 통하여 회사의 게임 서비스 및 방송 서비스를 이용할 수 있도록 제공하는 서비스를 의미합니다.
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.2. 게임 서비스: 회사가 제공하는 게임을 이용할 수 있도록 지정된 IP주소로 회사가 사업자에게 제공하는 서비스를 의미합니다.
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.3. 방송 서비스: 회사가 제공하는 방송 서비스를 이용할 수 있도록 지정된 IP주소로 회사가 사업자에게 제공하는 서비스를 의미합니다.
제1장 총칙,제4조 (용어의 정의),"본 약관에서 사용하는 용어의 정의는 다음과 같습니다.4. 멀티미디어 문화컨텐츠 설비제공업 사업자(이하 “사업자”): 해당 IP 주소에 연결된 PC를 통해 IP 서비스를 제공받기 위하여 회사에 IP 서비스 가입을 신청한 개인 또는 법인 및 법인에 준하는 단체로 ‘음반, 비디오물 및 게임물에 관한 법률’상의 멀티미디어 문화컨텐츠 설비 제공업을 영위하는 사업자를 의미합니다."
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.5. 정보서비스: IP 서비스를 이용하는 사업자가 회사에서 제공하는 홈페이지를 통해 사업자 정보를 포함하여 기타 회사에서 제공하는 정보 등을 홈페이지에서 사업자가 직접 확인 또는 수정할 수 있도록 회사에서 이용회원을 대상으로 부가적으로 제공하는 서비스를 의미합니다.
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.6. 이용계정(이하 “계정”): 사업자의 식별 및 서비스 이용을 위하여 사업자가 선정하고 회사가 부여하는 영문자 및 숫자의 조합을 의미합니다.
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.7. 비밀번호: 사업자의 본인여부확인 및 사업자정보 유출방지를 비롯한 정보보호 등 사업자의 권익보호를 위해 사업자가 선정한 문자와 숫자의 조합을 의미합니다.
제1장 총칙,제4조 (용어의 정의),"본 약관에서 사용하는 용어의 정의는 다음과 같습니다.8. 이용자: 회사에 서비스 이용신청 및 계정을 등록한 후, 인터넷과 PC방 등을 통하여 IP 서비스를 이용하는 모든 이용자를 의미합니다."
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.9. 선불 정량제: 회사가 제공하는 게임 서비스를 이용하기 위하여 사업자의 시간상품에 대한 요금을 선불로 납부하고 구매한 시간만큼 게임 서비스를 이용할 수 있는 요금제도를 말합니다.
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.10. 선불 정액제: 회사가 제공하는 방송 서비스를 이용하기 위하여 사업자가 일자상품에 대한 요금을 선불로 납부하고 구매한 일자만큼 방송 서비스를 이용할 수 있는 요금제도를 말합니다.
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.11. “무료 정량제” 및 “무료 정액제”: 회사가 이벤트 및 보상 등의 사유로 지급한 무료 이용권을 말합니다.
제1장 총칙,제4조 (용어의 정의),본 약관에서 사용하는 용어의 정의는 다음과 같습니다.12. 본 약관에서 사용하는 용어는 본 조에서 정하는 것을 제외하고는 관계법령 및 상 관례에 의합니다
제2장 IP 서비스 이용계약,제5조 (IP 서비스 이용 신청),1. IP 서비스의 이용을 원하는 사업자가 회사가 정하는 양식의 신청서를 회사가 정한 절차에 의하여 팩스나 우편 또는 e-mail 또는 사업자 전용 홈페이지를 이용하여 신청하여야 합니다. 또한 신규로 IP 서비스를 신청하는 사업자는 반드시 본인의 사업자 등록증 사본을 팩스 또는 우편을 통하여 송부하여야 합니다.
제2장 IP 서비스 이용계약,제5조 (IP 서비스 이용 신청),"2. 사업자는 본인의 명의로 이용신청을 하여야 하며, 회사가 공지하는 약관의 모든 내용을 충분히 검토한 후 이를 승인 하여야 합니다. 만약, 사업자가 개인정보 등을 정확히 기입하지 않거나 그 변경 사항을 알리지 않음으로 인하여 발생하는 불이익에 대하여 회사는 책임을 지지 않습니다."
제2장 IP 서비스 이용계약,제5조 (IP 서비스 이용 신청),"3. 회사는 다음 각 호의 1에 해당하는 신청에 대하여는 승인을 하지 않거나, 추후 확인 시에 이용 신청이 취소될 수 있습니다."
제2장 IP 서비스 이용계약,제5조 (IP 서비스 이용 신청),"3. 회사는 다음 각 호의 1에 해당하는 신청에 대하여는 승인을 하지 않거나, 추후 확인 시에 이용 신청이 취소될 수 있습니다.① 타인(직계 존비속도 포함)의 명의를 이용 또는 도용한 신청"
